vod,rr5,rr4,rr3,rr2,rr1,br5,br4,br3,br2,br1,rp5,bp4,bp5,rp4,bb5,rb5,bb4,rb4,rp3,bp2,bp3,rp1,rp2,bp1,rb3,bb3,rb2,bb2,rb1,bb1,patch,winner,score,red,blue,phase,region
https://youtu.be/xniPD7ipr5g?t=3000,mid,top,support,bot,jungle,jungle,mid,support,top,bot,leblanc,ahri,trundle,aatrox,gnar,wukong,gwen,skarner,nami,ornn,yuumi,poppy,lucian,sivir,vi,azir,kalista,renekton,renata glasc,sylas,12.14,1,1 - 0,DRX,Liiv SANDBOX,Quarterfinals,KR
,mid,top,jungle,support,bot,jungle,mid,top,bot,support,vex,leblanc,viego,gwen,ornn,orianna,azir,zilean,trundle,sivir,sejuani,zeri,karma,lulu,kennen,draven,yuumi,seraphine,kalista,yone,12.15,1,3 - 2,Counter Logic Gaming,Cloud9,Round 1,LCS
,top,support,jungle,bot,mid,mid,top,support,bot,jungle,renekton,akali,yone,ashe,pyke,sylas,amumu,leblanc,trundle,zeri,renataglasc,azir,draven,poppy,lulu,nautilus,yuumi,orianna,seraphine,kalista,12.15,1,2 - 2,Cloud9,Counter Logic Gaming,Round 1,LCS
,mid,top,bot,jungle,support,jungle,mid,top,support,bot,ahri,orianna,nocturne,sejuani,ornn,zilean,leblanc,vi,zeri,nautilus,kennen,lulu,trundle,sivir,kalista,draven,yuumi,seraphine,azir,yone,12.15,1,2 - 1,Counter Logic Gaming,Cloud9,Round 1,LCS
,top,support,mid,jungle,bot,top,mid,jungle,bot,support,aatrox,sylas,renekton,amumu,renata glasc,lissandra,karma,leblanc,ahri,zeri,trundle,sivir,vi,lulu,yuumi,nautilus,azir,poppy,seraphine,kalista,12.15,1,1 - 1,Cloud9,Counter Logic Gaming,Round 1,LCS
,mid,top,jungle,support,bot,mid,jungle,top,support,bot,sylas,trundle,orianna,sejuani,leblanc,jarvan iv,ahri,xin zhao,vi,ashe,kennen,sivir,renataglasc,kalista,azir,draven,yuumi,seraphine,zilean,yone,12.15,1,1 - 0,Counter Logic Gaming,Cloud9,Round 1,LCS
,top,mid,bot,support,jungle,top,bot,support,mid,jungle,gragas,vayne,camille,ahri,swain,aphelios,ornn,aatrox,sivir,leblanc,alistar,trundle,leona,wukong,vi,azir,lulu,poppy,yuumi,kalista,12.15,2,1 - 3,Team Liquid,FlyQuest,Round 1,LCS
,top,mid,jungle,support,bot,support,bot,top,jungle,mid,renekton,lucian,nami,swain,tryndamere,aphelios,camille,zeri,trundle,vi,aatrox,seraphine,nautilus,azir,sivir,poppy,lulu,draven,yuumi,kalista,12.15,2,1 - 2,Team Liquid,FlyQuest,Round 1,LCS
,top,support,mid,bot,jungle,jungle,top,support,bot,mid,renekton,sejuani,viego,braum,aatrox,ornn,gwen,jarvan iv,leblanc,draven,alistar,wukong,sivir,azir,poppy,vi,kalista,lulu,trundle,yuumi,12.15,1,1 - 1,FlyQuest,Team Liquid,Round 1,LCS
,jungle,top,support,bot,mid,support,top,mid,jungle,bot,vi,olaf,leona,aatrox,jax,rakan,jarvan iv,ornn,alistar,wukong,syndra,azir,aphelios,sivir,poppy,gwen,kalista,lulu,trundle,yuumi,12.15,2,0 - 1,FlyQuest,Team Liquid,Round 1,LCS
